from_node_id,from_name,to_node_id,to_name,travel_time_min,distance_m
23,Lab 23,16,Lab 16,9.740828105031335,7707.94261211108
23,Lab 23,17,Lab 17,17.362709954222165,13969.545338601243
23,Lab 23,18,Lab 18,6.5343367610781025,4692.107622821512
23,Lab 23,19,Lab 19,3.6571694606691314,3060.045997937401
23,Lab 23,20,Lab 20,6.03783750251542,4874.442203786983
23,Lab 23,21,Lab 21,11.56935565982163,9096.643585807598
23,Lab 23,22,Lab 22,11.2225257556631,9018.73839350812
23,Lab 23,23,Lab 23,0.0,0.0
23,Lab 23,24,Lab 24,14.100616394565378,11611.443575452595
23,Lab 23,25,Lab 25,3.075086088219223,2298.825901694357
23,Lab 23,26,Lab 26,4.086621155919329,3321.7974894171966
23,Lab 23,27,Lab 27,5.574366305162173,5247.3001961846785
23,Lab 23,28,Lab 28,3.4532041063264387,2892.2927509959663
23,Lab 23,29,Lab 29,4.519578373197428,3731.602871687132
23,Lab 23,30,Lab 30,11.514136726778021,9495.979300639932
23,Lab 23,31,Lab 31,8.860363330704406,6892.586606834191
23,Lab 23,32,Lab 32,17.569941980780875,14087.13901077301
23,Lab 23,33,Lab 33,13.978498065096888,11104.157203756662
23,Lab 23,34,Lab 34,7.385274686304862,6013.456492613932
23,Lab 23,35,Lab 35,3.539352620702849,2731.7108855590095
23,Lab 23,36,Lab 36,11.448624517259526,9050.93890958578
23,Lab 23,37,Lab 37,5.967508836449791,4831.631234599948
23,Lab 23,38,Lab 38,9.548764447310598,7484.160014232143
23,Lab 23,39,Lab 39,3.2702040718794745,2555.4946585901616
23,Lab 23,40,Lab 40,7.7645402776293535,6305.708051287418
24,Lab 24,0,Central Hospital,19.716777770594287,16448.051800361824
24,Lab 24,1,Lab 1,17.939010034126614,15128.14020505534
24,Lab 24,2,Lab 2,16.54509075279912,14213.038002693898
24,Lab 24,3,Lab 3,16.06538124798178,13421.195556589702
24,Lab 24,4,Lab 4,22.138127396146327,19715.752138897085
24,Lab 24,5,Lab 5,15.333495990350379,13508.058274443985
24,Lab 24,6,Lab 6,10.882315625185846,8568.624239482719
24,Lab 24,7,Lab 7,22.820299504343218,19241.69443904372
24,Lab 24,8,Lab 8,22.82719239886281,19297.52244962893
24,Lab 24,9,Lab 9,15.278259164171997,12615.199009051925
24,Lab 24,10,Lab 10,16.41479913766538,14063.436066203702
24,Lab 24,11,Lab 11,9.991613282951874,8255.416077498223
24,Lab 24,12,Lab 12,16.417591816369118,13999.022842191685
24,Lab 24,13,Lab 13,10.74430120013684,8867.961151768583
24,Lab 24,14,Lab 14,15.582787492807675,12423.042033373606
24,Lab 24,15,Lab 15,18.176553114096993,15534.636530779562
24,Lab 24,16,Lab 16,15.264305276483306,13473.46291751045
24,Lab 24,17,Lab 17,24.26799212565265,20879.63191101677
24,Lab 24,18,Lab 18,19.992800347355672,15797.356987710751
24,Lab 24,19,Lab 19,12.476096793654195,10122.677534978826
24,Lab 24,20,Lab 20,13.441332269296815,11444.083516892473
24,Lab 24,21,Lab 21,20.982895898135247,17804.968358537768
24,Lab 24,22,Lab 22,22.614407796229944,18938.941668313208
24,Lab 24,23,Lab 23,13.531089763326156,11278.689131914445
24,Lab 24,24,Lab 24,0.0,0.0
24,Lab 24,25,Lab 25,16.606175851545384,13577.515033608808
24,Lab 24,26,Lab 26,14.947509769716097,12828.37880193615
24,Lab 24,27,Lab 27,10.906805546601186,9528.166716092088
24,Lab 24,28,Lab 28,16.984293869652596,14170.981882910413
24,Lab 24,29,Lab 29,16.905374116616482,14417.39963852552
24,Lab 24,30,Lab 30,3.6202831140198573,2508.7243034201574
24,Lab 24,31,Lab 31,17.862022183363198,15030.276924764492
24,Lab 24,32,Lab 32,26.9834822190945,22795.463783503175
24,Lab 24,33,Lab 33,23.39203830341051,19812.48197648683
24,Lab 24,34,Lab 34,17.697190193475556,15189.24939795294
24,Lab 24,35,Lab 35,13.041204335817785,10058.25598976046
24,Lab 24,36,Lab 36,23.44153530663886,19681.92457625031
24,Lab 24,37,Lab 37,19.498598599775942,16110.320366514397
24,Lab 24,38,Lab 38,16.046826144324612,14125.563640711536
24,Lab 24,39,Lab 39,16.801293835205634,13834.183790504612
24,Lab 24,40,Lab 40,21.295630040955505,17584.39718320187
25,Lab 25,0,Central Hospital,5.384938709798368,4182.113299859692
25,Lab 25,1,Lab 1,6.353054527461212,4478.708946137382
25,Lab 25,2,Lab 2,1.6098803979918528,1079.8145293595949
25,Lab 25,3,Lab 3,5.335692201402108,3924.0256226027373
25,Lab 25,4,Lab 4,13.060429956364054,10864.559080293777
25,Lab 25,5,Lab 5,7.637603550546624,5801.43148285683
25,Lab 25,6,Lab 6,6.6794623433071605,4977.855049091465
25,Lab 25,7,Lab 7,8.849661001131222,6876.719681408442
25,Lab 25,8,Lab 8,11.241236892197412,8648.091190710975
25,Lab 25,9,Lab 9,8.911602221842317,6136.082734784408
25,Lab 25,10,Lab 10,4.828843630999978,3414.004807285742
25,Lab 25,11,Lab 11,9.474038880797572,7539.545622895626
25,Lab 25,12,Lab 12,3.384287934220567,2573.425403997215
25,Lab 25,13,Lab 13,7.7669547795111376,6258.346122764807
25,Lab 25,14,Lab 14,6.564330374317607,5004.26038254688
25,Lab 25,15,Lab 15,8.186263314601273,5884.726984410811
25,Lab 25,16,Lab 16,7.568412836679551,5766.836125923293
25,Lab 25,17,Lab 17,15.190294685870379,12028.438852413461
25,Lab 25,18,Lab 18,6.451557948058508,4402.173621812369
25,Lab 25,19,Lab 19,6.585373649024992,5126.72514823497
25,Lab 25,20,Lab 20,3.865422234163638,2933.3357175991955
25,Lab 25,21,Lab 21,9.396940391469846,7155.537099619807
25,Lab 25,22,Lab 22,9.86081959515512,7622.546056174283
25,Lab 25,23,Lab 23,4.265392424914767,3195.6253431539253
25,Lab 25,24,Lab 24,16.615027014979432,13554.381320346502
25,Lab 25,25,Lab 25,0.0,0.0
25,Lab 25,26,Lab 26,1.9142058875675483,1380.6910032294086
25,Lab 25,27,Lab 27,7.54313531946138,5599.465619503646
25,Lab 25,28,Lab 28,2.799465935956295,2145.7278661077444
25,Lab 25,29,Lab 29,2.5373068080744257,1803.0985654898159
25,Lab 25,30,Lab 30,14.028547347192076,11438.917045533839
25,Lab 25,31,Lab 31,6.687948062352622,4951.4801206464
25,Lab 25,32,Lab 32,15.397526712429089,12146.032524585216
25,Lab 25,33,Lab 33,11.806082796745104,9163.05071756887
25,Lab 25,34,Lab 34,5.212859417953081,4072.350006426142
25,Lab 25,35,Lab 35,6.46755680905871,4798.390035856579
25,Lab 25,36,Lab 36,10.379554596837341,7743.861305248914
25,Lab 25,37,Lab 37,5.214493398644399,3911.3531458257753
25,Lab 25,38,Lab 38,7.376349178958815,5543.053528044356
25,Lab 25,39,Lab 39,0.5133375137916084,256.66875689580417
25,Lab 25,40,Lab 40,7.11080210725921,5559.143166399195
26,Lab 26,0,Central Hospital,4.898208298464254,4024.91833938323
26,Lab 26,1,Lab 1,4.4775868700341555,3098.017942907974
26,Lab 26,2,Lab 2,1.8428126382108918,1520.0017095441647
26,Lab 26,3,Lab 3,3.4406285260568183,2543.3346193733287
26,Lab 26,4,Lab 4,11.174236191216497,9483.86807706437
26,Lab 26,5,Lab 5,5.742539875201332,4420.740479627424
26,Lab 26,6,Lab 6,6.340595525519754,5009.455732561296
26,Lab 26,7,Lab 7,7.990877601210302,6511.722192593565
26,Lab 26,8,Lab 8,9.365769234770353,7267.400187481563
26,Lab 26,9,Lab 9,7.016538546497028,4755.391731555001
26,Lab 26,10,Lab 10,2.9533759735729204,2033.313804056333
26,Lab 26,11,Lab 11,7.739550401573683,6213.133282840737
26,Lab 26,12,Lab 12,1.5088202767935102,1200.245247430895
26,Lab 26,13,Lab 13,6.837113451698518,5227.318563352634
26,Lab 26,14,Lab 14,7.505512728759625,6049.10455261743
26,Lab 26,15,Lab 15,6.310795657174217,4504.035981181402
26,Lab 26,16,Lab 16,5.673349161334259,4386.145122693887
26,Lab 26,17,Lab 17,13.304100920722824,10647.747849184054
26,Lab 26,18,Lab 18,7.197650338062805,5468.001820436528
26,Lab 26,19,Lab 19,7.526556003467011,6171.569318305522
26,Lab 26,20,Lab 20,2.1309337549397465,1606.9233775443035
26,Lab 26,21,Lab 21,7.52147273404279,5774.846096390398
26,Lab 26,22,Lab 22,7.985351937728067,6249.365899607963
26,Lab 26,23,Lab 23,5.206574779356785,4240.469513224476
26,Lab 26,24,Lab 24,14.88053853575554,12672.410779855958
26,Lab 26,25,Lab 25,1.952951006616843,1412.9786024371542
26,Lab 26,26,Lab 26,0.0,0.0
26,Lab 26,27,Lab 27,5.808646840237488,4273.053279448755
26,Lab 26,28,Lab 28,3.545558325960591,2922.3633260768634
26,Lab 26,29,Lab 29,2.0759522134835766,1687.427392075363
26,Lab 26,30,Lab 30,12.294058867968184,10508.287625179966
26,Lab 26,31,Lab 31,4.812480404925566,3570.7891174169918
26,Lab 26,32,Lab 32,13.522059055002035,10765.341521355806
26,Lab 26,33,Lab 33,9.930615139318048,7782.359714339461
26,Lab 26,34,Lab 34,3.337391760526024,2699.169849859822
26,Lab 26,35,Lab 35,7.408739163500729,5843.2342059271305
26,Lab 26,36,Lab 36,8.812479448136981,6992.34880754507
26,Lab 26,37,Lab 37,5.729414937180767,4622.089121874636
26,Lab 26,38,Lab 38,5.481285503613523,4162.362524814949
26,Lab 26,39,Lab 39,2.3055567538717927,1602.2281447753555
26,Lab 26,40,Lab 40,7.856894497263506,6336.65350659549
27,Lab 27,0,Central Hospital,10.534934346140712,8358.222077218825
27,Lab 27,1,Lab 1,7.972377441945603,6143.221634411528
27,Lab 27,2,Lab 2,7.420649060427297,5851.056529835019
27,Lab 27,3,Lab 3,5.795900755219312,4364.250329704891
27,Lab 27,4,Lab 4,12.866278503887468,11304.783787395929
27,Lab 27,5,Lab 5,6.061647098091521,5152.76131255541
27,Lab 27,6,Lab 6,3.7808576339824467,3320.384446754548
27,Lab 27,7,Lab 7,13.627603648886751,10845.025930429156
27,Lab 27,8,Lab 8,13.350531406565203,10510.194303926017
27,Lab 27,9,Lab 9,6.006410271913141,4259.902047163352
27,Lab 27,10,Lab 10,7.222103282208925,5638.818720413541
27,Lab 27,11,Lab 11,3.037403191732653,2258.5373535987587
27,Lab 27,12,Lab 12,7.224895960912658,5602.35433357711
27,Lab 27,13,Lab 13,2.926725348814591,2047.7649998612205
27,Lab 27,14,Lab 14,8.841697068870833,7558.190393618868
27,Lab 27,15,Lab 15,8.904704221838136,6477.691303894747
27,Lab 27,16,Lab 16,5.9924563842244485,5118.165955621873
